eventtitle,prefearfactor,postfearfactor
toastmasters1,8,4
toastmasters1,6,2
toastmasters1,3,7
toastmasters1,8,4
toastmasters1,6,2
toastmasters1,9,7
toastmasters1,9,7
toastmasters1,9,7
toastmasters1,8,7
toastmasters1,7,6
toastmasters1,8,4
toastmasters1,6,2
toastmasters1,3,7
toastmasters1,8,4
toastmasters1,6,2
toastmasters1,9,7
toastmasters1,9,7
toastmasters1,9,7
toastmasters1,8,7
toastmasters1,7,6
toastmasters1,8,4
toastmasters1,6,2
toastmasters1,3,7
toastmasters1,8,4
toastmasters1,6,2
toastmasters1,9,7
toastmasters1,9,7
toastmasters1,9,7
toastmasters1,8,7
toastmasters1,7,6
toastmasters1,8,4
toastmasters1,6,2
toastmasters1,3,7
toastmasters1,8,4
toastmasters1,6,2
toastmasters1,9,7
toastmasters1,9,7
toastmasters1,9,7
toastmasters1,8,7
toastmasters1,7,6
toastmasters1,8,4
toastmasters1,6,2
toastmasters1,3,7
toastmasters1,8,4
toastmasters1,6,2
toastmasters1,9,7
toastmasters1,9,7
toastmasters1,9,7
toastmasters1,8,7
toastmasters1,7,6
toastmasters1,8,4
toastmasters1,6,2
toastmasters1,3,7
toastmasters1,8,4
toastmasters1,6,2
toastmasters1,9,7
toastmasters1,9,7
toastmasters1,9,7
toastmasters1,8,7
toastmasters1,7,6
